algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	30	555	554.70	10.686	24.103	38.804	0.000
roundrobin	30	555	554.58	10.600	25.062	42.646	0.000
prequal	103	1906	1903.19	12.864	30.861	71.735	0.000
roundrobin	103	1906	1795.04	16.609	1059.541	4862.949	0.969
