algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	30	523	522.13	11.969	28.809	53.983	0.000
roundrobin	30	523	522.21	11.315	26.161	45.320	0.000
prequal	103	1796	1789.98	13.330	33.906	83.549	0.000
roundrobin	103	1796	1784.76	15.320	89.421	315.133	0.000
prequal	174	3035	3024.38	19.443	63.693	176.170	0.000
roundrobin	174	3035	2279.99	21.505	2329.389	5000.571	3.321
