algorithm,level_pct,instance,cpu_pct
roundrobin,174,srv-10:80,145.768
roundrobin,174,srv-10:80,148.220
roundrobin,174,srv-10:80,127.564
roundrobin,174,srv-10:80,149.337
roundrobin,174,srv-10:80,184.795
roundrobin,174,srv-10:80,155.925
roundrobin,174,srv-10:80,121.833
roundrobin,174,srv-10:80,218.468
roundrobin,174,srv-10:80,157.667
roundrobin,174,srv-10:80,84.139
roundrobin,174,srv-10:80,140.964
roundrobin,174,srv-10:80,151.438
roundrobin,174,srv-10:80,152.742
roundrobin,174,srv-10:80,144.475
roundrobin,174,srv-10:80,147.288
roundrobin,174,srv-10:80,149.307
roundrobin,174,srv-10:80,192.990
roundrobin,174,srv-10:80,191.683
roundrobin,174,srv-10:80,111.140
roundrobin,174,srv-10:80,120.413
roundrobin,174,srv-10:80,190.010
roundrobin,174,srv-10:80,150.256
roundrobin,174,srv-10:80,115.248
roundrobin,174,srv-10:80,160.747
roundrobin,174,srv-10:80,149.479
roundrobin,174,srv-10:80,141.642
roundrobin,174,srv-10:80,160.384
roundrobin,174,srv-10:80,159.592
roundrobin,174,srv-10:80,156.542
roundrobin,174,srv-10:80,158.478
roundrobin,174,srv-10:80,155.187
roundrobin,174,srv-10:80,154.378
roundrobin,174,srv-10:80,150.746
roundrobin,174,srv-10:80,199.224
roundrobin,174,srv-10:80,144.258
roundrobin,174,srv-10:80,90.320
roundrobin,174,srv-10:80,156.021
roundrobin,174,srv-10:80,145.575
roundrobin,174,srv-10:80,150.635
roundrobin,174,srv-10:80,158.857
roundrobin,174,srv-10:80,132.307
roundrobin,174,srv-10:80,132.152
roundrobin,174,srv-10:80,141.258
roundrobin,174,srv-10:80,80.430
roundrobin,174,srv-10:80,126.646
roundrobin,174,srv-10:80,136.170
roundrobin,174,srv-10:80,166.940
roundrobin,174,srv-10:80,159.660
roundrobin,174,srv-10:80,119.873
roundrobin,174,srv-10:80,144.708
roundrobin,174,srv-10:80,150.839
roundrobin,174,srv-10:80,158.279
roundrobin,174,srv-10:80,157.598
roundrobin,174,srv-10:80,175.438
roundrobin,174,srv-10:80,189.050
roundrobin,174,srv-10:80,137.378
roundrobin,174,srv-10:80,145.973
roundrobin,174,srv-10:80,135.063
roundrobin,174,srv-10:80,38.251
roundrobin,174,srv-10:80,4.999
roundrobin,174,srv-1:80,214.130
roundrobin,174,srv-1:80,231.809
roundrobin,174,srv-1:80,234.147
roundrobin,174,srv-1:80,227.346
roundrobin,174,srv-1:80,229.794
roundrobin,174,srv-1:80,235.950
roundrobin,174,srv-1:80,233.759
roundrobin,174,srv-1:80,232.298
roundrobin,174,srv-1:80,233.216
roundrobin,174,srv-1:80,233.237
roundrobin,174,srv-1:80,235.723
roundrobin,174,srv-1:80,235.275
roundrobin,174,srv-1:80,230.867
roundrobin,174,srv-1:80,226.985
roundrobin,174,srv-1:80,228.697
roundrobin,174,srv-1:80,233.096
roundrobin,174,srv-1:80,237.169
roundrobin,174,srv-1:80,237.710
roundrobin,174,srv-1:80,233.321
roundrobin,174,srv-1:80,230.273
roundrobin,174,srv-1:80,230.012
roundrobin,174,srv-1:80,230.537
roundrobin,174,srv-1:80,231.716
roundrobin,174,srv-1:80,228.483
roundrobin,174,srv-1:80,231.255
roundrobin,174,srv-1:80,234.655
roundrobin,174,srv-1:80,232.316
roundrobin,174,srv-1:80,229.177
roundrobin,174,srv-1:80,231.085
roundrobin,174,srv-1:80,235.414
roundrobin,174,srv-1:80,232.720
roundrobin,174,srv-1:80,230.958
roundrobin,174,srv-1:80,233.494
roundrobin,174,srv-1:80,232.656
roundrobin,174,srv-1:80,229.611
roundrobin,174,srv-1:80,226.971
roundrobin,174,srv-1:80,229.392
roundrobin,174,srv-1:80,234.009
