algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	75	1402	1401.44	11.922	27.841	58.469	0.000
roundrobin	75	1402	1401.06	14.018	74.719	275.448	0.000
prequal	83	1552	1551.39	11.926	27.696	53.304	0.000
roundrobin	83	1552	1546.55	15.602	290.579	1120.243	0.000
prequal	93	1739	1738.15	12.527	30.367	241.792	0.000
roundrobin	93	1739	1705.50	16.049	719.567	3355.008	0.308
prequal	103	1926	1924.65	13.088	31.657	65.853	0.000
roundrobin	103	1926	1871.09	16.618	1099.774	4911.825	1.043
prequal	114	2132	2130.55	14.251	35.135	73.548	0.000
roundrobin	114	2132	2006.86	17.348	1718.950	5000.442	2.625
prequal	127	2375	2371.83	15.238	38.158	99.626	0.000
roundrobin	127	2375	2150.83	18.627	3228.319	5000.661	6.065
prequal	141	2637	2635.44	17.083	43.347	101.828	0.000
roundrobin	141	2637	2318.53	19.084	3214.533	5000.675	6.386
prequal	157	2936	2931.41	19.487	51.190	138.530	0.000
roundrobin	157	2936	2570.22	20.457	3817.645	5000.654	7.439
prequal	174	3254	3248.07	27.531	82.383	281.480	0.000
roundrobin	174	3254	2686.17	22.095	4991.266	5000.738	10.574
