algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	30	572	571.60	10.732	24.287	38.331	0.000
roundrobin	30	572	571.46	10.894	25.335	47.342	0.000
prequal	103	1963	1959.06	13.043	31.103	77.432	0.000
roundrobin	103	1963	1833.37	16.800	1383.481	4999.434	1.445
