algorithm,level_pct,instance,cpu_pct
roundrobin,174,srv-10:80,185.456
roundrobin,174,srv-10:80,150.157
roundrobin,174,srv-10:80,116.905
roundrobin,174,srv-10:80,154.850
roundrobin,174,srv-10:80,216.282
roundrobin,174,srv-10:80,182.242
roundrobin,174,srv-10:80,110.349
roundrobin,174,srv-10:80,159.050
roundrobin,174,srv-10:80,137.738
roundrobin,174,srv-10:80,121.203
roundrobin,174,srv-10:80,143.888
roundrobin,174,srv-10:80,184.428
roundrobin,174,srv-10:80,229.490
roundrobin,174,srv-10:80,123.995
roundrobin,174,srv-10:80,78.267
roundrobin,174,srv-10:80,170.781
roundrobin,174,srv-10:80,149.724
roundrobin,174,srv-10:80,186.963
roundrobin,174,srv-10:80,163.669
roundrobin,174,srv-10:80,58.316
roundrobin,174,srv-1:80,200.368
roundrobin,174,srv-1:80,206.069
roundrobin,174,srv-1:80,211.517
roundrobin,174,srv-1:80,208.496
roundrobin,174,srv-1:80,206.855
roundrobin,174,srv-1:80,209.671
roundrobin,174,srv-1:80,212.810
roundrobin,174,srv-1:80,209.712
roundrobin,174,srv-1:80,205.128
roundrobin,174,srv-1:80,203.909
roundrobin,174,srv-1:80,206.446
roundrobin,174,srv-1:80,209.836
roundrobin,174,srv-1:80,208.860
roundrobin,174,srv-1:80,207.181
roundrobin,174,srv-1:80,201.406
roundrobin,174,srv-1:80,201.573
roundrobin,174,srv-1:80,206.238
roundrobin,174,srv-1:80,202.914
roundrobin,174,srv-1:80,193.717
roundrobin,174,srv-1:80,92.812
roundrobin,174,srv-2:80,206.651
roundrobin,174,srv-2:80,212.355
roundrobin,174,srv-2:80,212.575
roundrobin,174,srv-2:80,207.489
roundrobin,174,srv-2:80,207.085
roundrobin,174,srv-2:80,206.738
roundrobin,174,srv-2:80,205.578
roundrobin,174,srv-2:80,208.603
roundrobin,174,srv-2:80,211.461
roundrobin,174,srv-2:80,205.684
roundrobin,174,srv-2:80,203.917
roundrobin,174,srv-2:80,207.170
