algorithm	level_pct	target_qps	rps	p50_ms	p90_ms	p99_ms	error_pct
prequal	75	1446	1444.63	12.086	27.841	58.635	0.000
roundrobin	75	1446	1433.88	14.730	110.897	522.481	0.000
prequal	103	1986	1983.65	12.941	31.372	70.495	0.000
roundrobin	103	1986	1852.66	16.797	1381.947	5000.268	1.613
prequal	174	3355	3346.04	27.170	108.855	657.023	0.000
roundrobin	174	3355	2575.91	23.064	5000.152	5000.808	11.203
